,epoch,iteration,state,direction,action,loss
0,24,0,044,2,ar,0.19227724835545298
1,24,1,400,3,al,0.041666666666666664
2,24,2,440,2,af,0.08355689117803944
3,24,3,430,2,af,0.045171266379404384
4,24,4,420,2,al,0.026243992172066067
5,24,5,242,1,ar,0.09760810585578639
6,24,6,420,2,al,0.026342755086502256
7,24,7,242,1,ar,0.09617609241341774
8,24,8,420,2,al,0.02646171483957495
9,24,9,242,1,ar,0.0947561116355825
10,24,10,420,2,al,0.026601171147027574
11,24,11,242,1,ar,0.09334816763842256
12,24,12,420,2,al,0.026761430271444283
13,24,13,242,1,ar,0.09195226723677534
14,24,14,420,2,al,0.026942805136841413
15,24,15,242,1,ar,0.09056841997116923
16,24,16,420,2,al,0.027145615445690954
17,24,17,242,1,ar,0.0891966381357094
18,24,18,420,2,al,0.027362318786831274
19,24,19,242,1,ar,0.08783753413452634
20,24,20,420,2,al,0.027546331510204955
21,24,21,242,1,ar,0.08649482996627084
22,24,22,420,2,al,0.027742743080892352
23,24,23,242,1,ar,0.08516841981404795
24,24,24,420,2,al,0.02795163473346886
25,24,25,242,1,ar,0.08385820030382006
26,24,26,420,2,ar,0.02817309004409818
27,24,27,242,3,ar,0.08256407049010381
28,24,28,420,0,al,0.028407194952738395
29,24,29,242,3,ar,0.08128593184225914
30,24,30,420,0,al,0.028654037785940837
31,24,31,242,3,ar,0.08002368823136595
32,24,32,420,0,al,0.02891370928024956
33,24,33,242,3,ar,0.07877724591768316
34,24,34,420,0,al,0.02918630260620811
35,24,35,242,3,ar,0.07754651353868594
36,24,36,420,0,al,0.029471913392981386
37,24,37,242,3,ar,0.0763314020976767
38,24,38,420,0,al,0.02977063975360028
39,24,39,242,3,ar,0.07513182495296772
40,24,40,420,0,al,0.030082582310836672
41,24,41,242,3,ar,0.07394769780762861
42,24,42,420,0,al,0.030407844223717825
43,24,43,242,3,ar,0.07277893869979829
44,24,44,420,0,al,0.03074653121468751
45,24,45,242,3,ar,0.07162546799355626
46,24,46,420,0,af,0.0221365309574017
47,24,47,410,0,af,0.020833333333333332
48,24,48,400,0,al,0.041666666666666664
49,24,49,440,3,af,0.05535031310217664
50,24,50,430,3,af,0.03000750876586328
51,24,51,420,3,al,0.031171261005059375
52,24,52,242,2,ar,0.07021493897227943
53,24,53,420,3,al,0.03125
54,24,54,242,2,af,0.03524530599123371
55,24,55,232,2,ar,0.03902895598251013
56,24,56,321,3,al,0.016927388965495737
57,24,57,232,2,ar,0.038703997381878914
58,24,58,321,3,al,0.01692775325613477
59,24,59,232,2,ar,0.03838378687772293
60,24,60,321,3,al,0.016931839449478913
61,24,61,232,2,al,0.011871577993987963
62,24,62,123,1,al,0.042297496377631146
63,24,63,212,0,al,0.022183023436478377
64,24,64,321,3,al,0.01695450319483213
65,24,65,232,2,ar,0.03732110128830557
66,24,66,321,3,al,0.016970805835553087
67,24,67,232,2,ar,0.03700771148764669
68,24,68,321,3,al,0.016990972433047456
69,24,69,232,2,ar,0.03669577856888915
70,24,70,321,3,al,0.017015043766745706
71,24,71,232,2,ar,0.03638531998386744
72,24,72,321,3,al,0.017043061043152896
73,24,73,232,2,al,0.01089445938405125
74,24,74,123,1,al,0.039329332132267955
75,24,75,212,0,al,0.0209159142642807
76,24,76,321,3,al,0.017114026119065155
77,24,77,232,2,ar,0.03540653470320427
78,24,78,321,3,al,0.017154391677245532
79,24,79,232,2,ar,0.03510299202109804
80,24,80,321,3,al,0.01719886528157508
81,24,81,232,2,ar,0.03480101006621398
82,24,82,321,3,ar,0.01724749027324842
83,24,83,232,0,ar,0.03450060760149989
84,24,84,321,1,al,0.017300310446268143
85,24,85,232,0,ar,0.034201803621144715
86,24,86,321,1,al,0.017357370052023636
87,24,87,232,0,ar,0.03390461735293796
88,24,88,321,1,ar,0.01741871380392007
89,24,89,232,2,ar,0.03360906826065674
90,24,90,321,3,al,0.017484386882058372
91,24,91,232,2,ar,0.03331517604647825
92,24,92,321,3,al,0.017554434937966747
93,24,93,232,2,ar,0.033022960653419864
94,24,94,321,3,al,0.01762890409938423
95,24,95,232,2,al,0.009378081514267163
96,24,96,123,1,al,0.034318684652670274
97,24,97,212,0,al,0.019059548499798965
98,24,98,321,3,al,0.01777520388803962
99,24,99,232,2,ar,0.03218618545669245
